Completed Trips
70
62
84
122
125
142
114
88
77
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
15
98
87
100
69
98
119
109
145
119
137
111
113
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
62
78
109
99
104
92
156
125
102
120
125
96
0
0
0
0
0
0
0
0
0
0
0
0
44
136
110
113
48
0
0
0
0
0
0
0
0
0
0
0
0
0
0
21
138
125
129
131
97
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
162
149
114
146
125
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
87
121
127
126
139
29
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
33
116
136
159
135
121
181
160
83
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
69
106
122
127
130
182
83
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
64
179
153
153
158
119
0
0
0
0
0
0
0
0
0
0
0
0
61
169
163
204
159
0
0
0
0
0
44
129
100
132
142
165
186
191
181
33
0
0
0
0
0
0
0
0
130
129
143
127
57
0
0
0
0
0
0
78
120
124
4
